hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田1,section,2191-2202,dd,plus,7,7,215,110.69767441860465,45.11627906976744,26.976744186046513
蒲田1,section,2191-2202,dd,plus,8,8,214,52.33644859813084,42.99065420560748,23.364485981308412
蒲田1,section,2191-2202,dd,plus,9,9,213,374.17840375586854,46.948356807511736,32.3943661971831
蒲田1,section,2191-2202,dd,plus,10,10,215,79.53488372093024,40.93023255813954,27.44186046511628
蒲田1,section,2191-2202,dd,plus,11,11,215,-17.674418604651162,41.3953488372093,22.325581395348838
蒲田1,section,2191-2202,dd,plus,12,12,201,54.72636815920398,38.80597014925373,24.875621890547265
蒲田1,section,2191-2202,dd,plus,13,13,213,69.9530516431925,41.31455399061033,25.821596244131456
蒲田1,section,2191-2202,dd,plus,14,14,207,228.9855072463768,43.47826086956522,31.88405797101449
蒲田1,section,2191-2202,dd,plus,15,15,212,200.47169811320754,46.22641509433962,28.77358490566038
蒲田1,section,2191-2202,dd,plus,16,16,213,-16.431924882629108,32.863849765258216,22.065727699530516
蒲田1,section,2191-2202,dd,plus,17,17,215,114.88372093023256,46.51162790697674,26.51162790697674
蒲田1,section,2191-2202,dd,plus,18,18,198,-31.818181818181817,33.83838383838384,24.242424242424242
蒲田1,section,2191-2202,dd,plus,19,19,201,-31.34328358208955,37.3134328358209,24.875621890547265
蒲田1,section,2191-2202,dd,plus,20,20,197,92.89340101522842,39.59390862944163,23.3502538071066
蒲田1,section,2191-2202,dd,plus,21,21,203,315.76354679802955,45.320197044334975,30.541871921182267
蒲田1,section,2191-2202,dd,plus,22,22,202,156.43564356435644,43.56435643564357,30.198019801980198
蒲田1,section,2191-2202,dd,plus,23,23,198,155.05050505050505,43.43434343434344,27.77777777777778
蒲田1,section,2191-2202,dd,plus,24,24,200,-24.0,39.0,24.5
